route,date,iso8601_kst,minute_of_day,note
32,2026-08-25,2026-08-25T07:25:00+09:00,445,
9507,2026-08-25,2026-08-25T07:25:00+09:00,445,
310,2026-08-25,2026-08-25T07:29:00+09:00,449,
9409,2026-08-25,2026-08-25T07:31:00+09:00,451,
4103,2026-08-26,2026-08-26T07:25:00+09:00,445,
32,2026-08-26,2026-08-26T07:26:00+09:00,446,
4103,2026-08-27,2026-08-27T07:28:00+09:00,448,
73,2026-08-27,2026-08-27T07:29:00+09:00,449,
310,2026-08-27,2026-08-27T07:29:00+09:00,449,
32,2026-08-27,2026-08-27T07:29:00+09:00,449,
73,2026-08-31,2026-08-31T07:26:00+09:00,446,
4103,2026-08-31,2026-08-31T07:29:00+09:00,449,
32,2026-08-31,2026-08-31T07:32:00+09:00,452,
9409,2026-08-31,2026-08-31T07:35:00+09:00,455,
340,2026-08-31,2026-08-31T07:35:00+09:00,455,
340,2026-09-01,2026-09-01T07:32:00+09:00,452,
310,2026-09-01,2026-09-01T07:32:00+09:00,452,
9409,2026-09-01,2026-09-01T07:35:00+09:00,455,
32,2026-09-01,2026-09-01T17:52:00+09:00,1072,
73,2026-09-02,2026-09-02T07:29:00+09:00,449,
4103,2026-09-02,2026-09-02T07:29:00+09:00,449,
32,2026-09-02,2026-09-02T07:29:00+09:00,449,
310,2026-09-02,2026-09-02T07:32:00+09:00,452,
9409,2026-09-02,2026-09-02T07:35:00+09:00,455,
340,2026-09-02,2026-09-02T07:35:00+09:00,455,
73,2026-09-03,2026-09-03T07:31:00+09:00,451,
4103,2026-09-03,2026-09-03T07:32:00+09:00,452,
310,2026-09-03,2026-09-03T07:32:00+09:00,452,
9409,2026-09-03,2026-09-03T07:33:00+09:00,453,
9507,2026-09-04,2026-09-04T11:01:00+09:00,661,
310,2026-09-04,2026-09-04T11:01:00+09:00,661,
73,2026-09-04,2026-09-04T11:01:00+09:00,661,
